81-8976, 3.19, Tue Mar 13 00:00:00 EET 1990, hWknCP, EGpfuC, 
43-0276, 2.84, Fri Mar 06 00:00:00 EET 1998, yEpejp, IuxEqe, 
43-2300, 1.27, Sat Mar 22 00:00:00 EET 1997, vHViqT, ONQxXh, 
43-4183, 1.12, Wed Oct 21 00:00:00 EET 1992, gjxsyw, LpEabF, 
43-6416, 1.12, Sat Dec 08 00:00:00 EET 1990, XMNSvM, SthmMq, 
43-8383, 2.5, Tue Aug 26 00:00:00 EEST 1997, RMDsaP, StiEYy, 
43-9510, 1.47, Thu Mar 13 00:00:00 EET 1997, EuGzmc, EAvfNa, 
44-0704, 1.69, Sat Apr 22 00:00:00 EET 1995, WutyhM, taUHWb, 
44-2789, 1.48, Wed Oct 24 00:00:00 EET 1990, RohsEC, VneuJr, 
44-3890, 0.93, Sun Apr 19 00:00:00 EET 1992, bRsfCx, YSmoWI, 
44-5435, 2.36, Tue May 09 00:00:00 EEST 1995, QgbxHk, LiOXBr, 
44-7502, 0.75, Tue Jun 01 00:00:00 EEST 1999, mDrGOG, MSpiej, 
45-3560, 1.29, Thu Jun 21 00:00:00 EEST 1990, FrGgBq, kSdyuU, 
45-6860, 1.54, Tue Nov 01 00:00:00 EET 1994, YKmjFL, gtIyQy, 
45-9915, 2.22, Mon Oct 27 00:00:00 EET 1997, CuNZgz, XIMTyz, 
46-7593, 3.0, Sun Oct 29 00:00:00 EET 1995, fJxnts, TTQQqy, 
46-8688, 2.29, Fri May 31 00:00:00 EEST 1996, BoHvgL, AzDuBB, 
46-8847, 1.54, Sun Apr 30 00:00:00 EEST 2000, NNspFh, HRbcDw, 
46-9818, 1.27, Thu Jan 25 00:00:00 EET 1996, uEqUCl, oLpbCM, 
47-1336, 2.65, Mon Apr 15 00:00:00 EET 1996, uhhfuJ, lNTlYe, 
48-3826, 1.76, Tue Jul 04 00:00:00 EEST 2000, OqPghi, ruBOHp, 
48-5921, 2.2, Tue Apr 07 00:00:00 EET 1998, OBlTju, FWVyqT, 
48-6465, 1.38, Sat May 29 00:00:00 EEST 1993, tdvima, ibqWqq, 
48-8669, 1.77, Sun Dec 08 00:00:00 EET 1991, QeUGbL, lwCZxX, 
48-9185, 1.1, Sat Nov 26 00:00:00 EET 1994, hPNZIw, AHSidd, 
49-3771, 3.14, Mon May 01 00:00:00 EEST 2000, AameyS, lypnbD, 
49-4944, 1.63, Sun Jan 03 00:00:00 EET 1993, fnPCYd, bIcCjB, 
49-7369, 1.12, Thu Mar 06 00:00:00 EET 1997, ZsxtJe, KdHaoX, 
